Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"DCM Shriram Consolidated","https://scanx.trade/company/dcm-shriram-consolidated-ltd","1,234.40","1.30%","1,219.90","56,659","19,001.60","31.18","31.18","1,502.30","902.60","-10.53%","-12.22%","10.13%","14.24%","265.86%","2.75","0.73%","6.86%","11.19%","31.47","1,240.49","1,151.68","55.00","66.49%","80.00%"
"Computer Age Management Services","https://scanx.trade/company/cams-ltd","3,795.70","-0.92%","3,837.50","2,88,960","18,961.10","40.34","22.25","5,367.50","3,031.05","-5.43%","-10.47%","-21.76%","46.07%","183.13%","16.80","1.91%","38.33%","49.51%","78.32","3,843.22","3,904.30","45.12","74.00%","80.00%"
"JSW Holdings","https://scanx.trade/company/jsw-jindal-south-west-holdings-ltd","17,156.00","1.38%","17,200.00","5,027","18,782.80","107.87","24.21","27,740.00","9,035.00","-8.37%","-23.10%","79.83%","326.93%","648.70%","0.61","-","-","0.66%","-","17,799.74","20,031.67","48.68","-","-"
"Gujarat Mineral Development Corporation","https://scanx.trade/company/gujarat-mineral-development-corporation-ltd","567.10","-3.99%","591.00","29,92,949","18,782.70","27.11","20.31","651.00","226.59","3.54%","49.47%","60.42%","301.49%","1,199.20%","2.81","1.78%","20.97%","12.42%","18.32","516.13","376.64","48.92","62.20%","78.21%"
"JSW Cement","https://scanx.trade/company/jsw-cement-ltd","136.45","-0.66%","137.33","13,09,845","18,727.20","-113.71","36.76","162.15","134.75","-7.66%","-6.59%","-6.59%","-6.59%","-6.59%","4.41","-","-","4.90%","-","-","-","39.53","-","70.00%"
"Reliance Power","https://scanx.trade/company/reliance-power-ltd","44.64","-0.91%","45.30","1,24,05,278","18,631.60","5.98","7.04","76.49","31.27","-8.58%","-31.44%","6.95%","175.56%","1,650.59%","1.24","-","-","16.13%","-","45.89","46.98","44.55","-","-"
"Crompton Greaves","https://scanx.trade/company/crompton-greaves-consumer-electricals-ltd","287.50","-0.38%","289.00","17,78,582","18,583.00","34.57","28.99","426.25","278.00","-8.74%","-17.76%","-30.64%","-24.83%","2.28%","5.46","1.04%","12.81%","19.23%","7.36","310.45","337.21","37.01","76.00%","80.00%"
"Capri Global Capital","https://scanx.trade/company/capri-global-capital-ltd","192.10","-0.55%","194.41","9,71,054","18,574.90","31.95","24.21","231.35","150.51","1.38%","5.15%","-1.40%","11.11%","239.82%","2.93","0.09%","5.74%","9.96%","3.53","188.06","175.16","55.73","50.00%","70.00%"
"Grindwell Norton","https://scanx.trade/company/grindwell-norton-ltd","1,650.00","-1.19%","1,675.90","7,709","18,488.00","49.08","-261.83","2,632.00","1,356.05","-2.84%","-8.78%","-32.70%","-18.65%","202.81%","8.11","1.03%","18.58%","20.71%","34.33","1,594.71","1,685.54","51.80","68.22%","80.00%"
"BEML","https://scanx.trade/company/beml-ltd","4,418.50","-0.16%","4,435.00","2,94,600","18,431.00","61.52","-43.20","4,874.80","2,350.00","0.34%","-2.83%","13.02%","189.51%","774.79%","6.37","0.45%","6.52%","11.44%","68.76","4,169.08","3,727.88","57.50","60.96%","80.00%"
