Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"Reliance Industries","https://scanx.trade/company/reliance-industries-ltd","1,416.80","1.32%","1,401.00","1,93,35,561","19,17,280.70","20.26","5.40","1,551.00","1,114.85","0.21%","-4.04%","4.45%","29.58%","43.42%","2.27","0.39%","8.54%","8.71%","101.61","1,385.00","1,348.93","63.04","78.00%","91.00%"
"HDFC Bank","https://scanx.trade/company/hdfc-bank-ltd","1,002.55","0.82%","993.95","2,52,10,511","15,39,951.70","21.00","13.73","1,018.85","812.15","3.73%","0.92%","19.84%","38.61%","66.60%","2.95","1.09%","13.93%","6.38%","89.49","973.03","934.67","70.52","78.00%","91.00%"
"Bharti Airtel","https://scanx.trade/company/bharti-airtel-ltd","2,012.00","2.27%","1,973.60","67,43,801","11,21,832.20","28.55","23.52","2,045.80","1,511.00","3.64%","4.25%","18.27%","162.66%","415.41%","10.17","0.77%","8.11%","18.01%","21.42","1,914.27","1,811.96","70.42","78.00%","91.00%"
"Tata Consultancy Services","https://scanx.trade/company/tcs-tata-consultancy-services-ltd","2,962.20","-0.29%","2,970.00","43,74,683","10,74,825.30","21.57","30.42","4,494.90","2,866.60","-6.64%","-7.70%","-27.91%","-4.81%","9.24%","10.14","4.26%","50.48%","62.02%","131.54","3,045.31","3,456.47","43.02","78.00%","91.00%"
"ICICI Bank","https://scanx.trade/company/icici-bank-ltd","1,436.60","1.36%","1,412.00","1,70,37,215","10,26,188.70","18.15","13.73","1,500.00","1,186.00","1.23%","1.26%","16.68%","62.29%","244.43%","3.31","0.76%","16.67%","6.13%","64.38","1,404.21","1,366.26","68.34","78.00%","91.00%"
"State Bank of India","https://scanx.trade/company/state-bank-of-india-ltd","889.15","0.25%","887.50","85,11,854","8,18,709.60","9.94","9.81","891.85","680.00","3.73%","7.26%","9.63%","63.55%","335.86%","1.58","1.73%","15.83%","5.57%","81.94","839.25","792.57","67.14","78.00%","91.00%"
"Bajaj Finance","https://scanx.trade/company/bajaj-finance-ltd","1,070.10","0.41%","1,056.10","57,61,670","6,63,161.00","37.76","24.21","1,081.10","645.10","6.21%","15.90%","55.10%","45.49%","227.53%","6.89","0.52%","18.84%","10.98%","241.14","957.38","890.08","71.32","76.00%","89.48%"
"Infosys","https://scanx.trade/company/infosys-ltd","1,441.10","-2.07%","1,454.90","1,69,59,378","6,11,318.80","21.26","30.42","2,006.45","1,307.00","-5.34%","-8.99%","-26.78%","-3.28%","28.00%","6.30","2.98%","29.67%","35.85%","64.20","1,478.97","1,611.04","39.83","78.00%","90.34%"
"Hindustan Unilever","https://scanx.trade/company/hindustan-unilever-ltd","2,603.70","1.65%","2,565.50","20,50,690","6,01,847.80","56.53","52.36","2,782.00","2,136.00","1.32%","3.74%","-4.93%","0.51%","19.56%","12.39","2.04%","19.99%","23.38%","43.99","2,572.84","2,402.43","60.11","78.00%","91.00%"
"LIC of India","https://scanx.trade/company/lic-of-india-ltd","885.50","-0.97%","894.15","5,61,015","5,65,549.70","11.50","24.21","1,007.80","715.30","0.02%","-4.61%","-5.10%","45.46%","1.17%","4.40","1.35%","49.36%","0.87%","66.13","889.44","860.16","44.35","76.00%","80.00%"
"Larsen & Toubro","https://scanx.trade/company/lt-larsen-toubro-ltd","3,839.40","-0.58%","3,860.00","13,37,364","5,31,212.20","28.47","22.13","3,963.50","2,965.30","4.18%","10.52%","7.54%","103.88%","325.23%","5.41","0.89%","15.18%","18.71%","96.60","3,655.93","3,506.97","66.25","76.00%","90.79%"
"Maruti Suzuki","https://scanx.trade/company/maruti-suzuki-ltd","16,401.00","0.63%","16,298.00","4,11,608","5,12,413.30","35.48","45.06","16,435.00","10,725.00","3.80%","31.46%","35.06%","88.00%","139.36%","5.36","0.82%","15.75%","19.54%","467.71","15,077.56","12,931.94","69.29","78.00%","91.00%"
"ITC","https://scanx.trade/company/itc-ltd","412.15","1.73%","405.35","2,10,71,344","5,07,517.70","14.66","22.60","471.50","390.15","0.70%","-2.78%","-10.89%","31.13%","158.95%","7.37","3.48%","27.71%","36.57%","16.36","407.06","418.69","59.39","78.00%","91.00%"
"Mahindra & Mahindra","https://scanx.trade/company/mahindra-mahindra-ltd","3,647.20","2.43%","3,561.00","33,39,579","4,42,795.70","30.44","45.06","3,723.80","2,425.00","0.39%","14.15%","23.03%","192.15%","510.46%","5.88","0.67%","15.83%","15.04%","88.80","3,442.91","3,088.28","65.55","76.00%","88.65%"
"Kotak Bank","https://scanx.trade/company/kotak-mahindra-bank-ltd","2,205.80","0.02%","2,203.90","33,41,302","4,38,564.20","22.90","13.73","2,301.90","1,679.05","7.58%","1.61%","18.33%","18.71%","60.22%","2.79","0.11%","13.83%","6.51%","93.78","2,025.71","2,035.68","74.85","78.00%","90.94%"
"HCL Technologies","https://scanx.trade/company/hcl-technologies-ltd","1,486.20","-1.90%","1,499.00","32,10,161","4,11,120.30","23.77","30.42","2,012.20","1,302.75","0.32%","-3.74%","-20.43%","49.43%","75.93%","5.67","4.04%","23.01%","30.84%","60.53","1,461.09","1,601.89","56.38","76.00%","90.48%"
"Sun Pharmaceutical","https://scanx.trade/company/sun-pharmaceutical-ltd","1,679.10","1.21%","1,658.20","15,94,147","3,98,049.70","38.75","55.26","1,923.65","1,548.00","3.64%","-1.43%","-11.14%","71.34%","247.17%","5.58","0.95%","14.38%","18.92%","43.95","1,621.38","1,693.98","61.71","78.00%","91.00%"
"Axis Bank","https://scanx.trade/company/axis-bank-ltd","1,200.20","0.33%","1,196.30","64,04,414","3,71,173.60","14.25","13.73","1,247.00","933.50","6.59%","3.48%","6.04%","47.42%","143.47%","1.88","0.08%","16.77%","6.50%","86.46","1,112.50","1,107.27","63.19","78.00%","91.00%"
"UltraTech Cement","https://scanx.trade/company/ultratech-cement-ltd","12,370.00","0.10%","12,300.00","1,82,242","3,64,518.10","52.92","36.76","13,097.00","10,047.85","-2.76%","-1.00%","12.28%","97.24%","174.00%","5.15","0.63%","11.62%","9.06%","243.84","12,425.76","11,734.24","52.91","78.00%","91.00%"
"Eternal","https://scanx.trade/company/zomato-ltd","342.65","-1.49%","340.00","7,79,95,576","3,35,687.40","1,803.68","22.25","368.45","194.80","4.39%","31.97%","26.65%","446.93%","171.94%","10.72","-","1.72%","2.63%","0.68","327.04","262.52","56.84","72.84%","80.00%"
"Bajaj Finserv","https://scanx.trade/company/bajaj-finserv-ltd","2,083.70","-0.31%","2,090.00","6,09,393","3,33,974.90","17.82","24.21","2,135.00","1,551.65","1.30%","2.82%","14.75%","21.20%","248.38%","4.60","0.05%","15.03%","10.65%","52.25","2,002.82","1,935.68","62.56","76.00%","90.75%"
"NTPC","https://scanx.trade/company/ntpc-ltd","341.00","-0.15%","341.50","70,32,129","3,31,141.10","13.47","7.04","428.75","292.80","1.37%","-0.48%","-18.37%","102.43%","317.64%","1.80","2.45%","12.31%","9.85%","22.08","336.12","335.33","54.35","76.00%","90.54%"
"Hindustan Aeronautics","https://scanx.trade/company/hal-hindustan-aeronautics-ltd","4,878.50","0.35%","4,861.30","18,32,920","3,25,111.60","39.27","-43.20","5,165.00","3,046.05","-0.24%","1.86%","7.96%","312.74%","1,215.92%","9.33","0.82%","26.15%","17.49%","113.89","4,637.02","4,380.81","60.34","74.66%","80.00%"
"Titan","https://scanx.trade/company/titan-ltd","3,674.80","0.95%","3,635.00","11,23,500","3,23,180.80","87.88","38.57","3,740.00","2,925.00","4.31%","7.03%","7.98%","39.99%","199.06%","28.07","0.30%","37.22%","36.95%","38.91","3,533.85","3,410.21","67.16","78.00%","91.00%"
"Adani Ports & SEZ","https://scanx.trade/company/adani-ports-sez-ltd","1,479.40","-0.01%","1,479.50","32,90,072","3,19,592.60","28.36","22.25","1,494.00","995.65","5.21%","1.85%","6.07%","88.17%","325.67%","5.13","0.47%","15.69%","13.60%","46.34","1,380.22","1,291.12","69.44","75.01%","75.00%"
"Oil & Natural Gas Corporation","https://scanx.trade/company/oil-natural-gas-corporation-ltd","247.69","-0.27%","248.55","1,42,50,215","3,12,431.20","7.78","-216.17","287.60","205.00","4.56%","1.57%","-12.04%","93.81%","257.42%","0.91","4.95%","15.64%","11.31%","36.35","238.22","242.38","63.70","76.00%","89.28%"
"Adani Power","https://scanx.trade/company/adani-power-ltd","165.98","5.47%","157.26","17,07,54,425","3,03,483.20","26.33","7.04","182.70","86.40","31.63%","38.63%","36.25%","143.62%","2,227.91%","6.34","-","48.28%","20.42%","41.44","133.88","114.27","69.79","60.00%","75.00%"
"Bharat Electronics","https://scanx.trade/company/bharat-electronics-ltd","412.80","0.24%","410.35","1,95,66,580","3,01,016.70","54.91","44.09","436.00","240.25","0.15%","2.13%","45.07%","305.50%","1,275.08%","15.11","0.58%","24.13%","33.72%","5.80","391.98","343.72","58.38","75.80%","85.00%"
"Adani Enterprises","https://scanx.trade/company/adani-enterprises-ltd","2,549.40","-0.32%","2,560.00","6,82,968","2,95,193.30","40.82","34.94","3,100.00","2,025.00","6.14%","-2.57%","-15.41%","-20.64%","704.35%","6.33","0.05%","7.45%","10.92%","37.44","2,414.00","2,410.99","56.26","71.37%","75.00%"
"JSW Steel","https://scanx.trade/company/jsw-steel-ltd","1,163.30","-0.75%","1,175.00","22,07,267","2,84,479.70","46.81","26.31","1,178.80","880.00","4.71%","12.48%","18.76%","84.23%","271.07%","3.58","0.30%","11.25%","7.49%","28.47","1,102.73","1,019.55","59.67","76.00%","90.36%"
"Avenue Supermarts DMart","https://scanx.trade/company/dmart-avenue-supermarts-ltd","4,302.50","-0.32%","4,312.00","2,34,370","2,80,862.90","102.44","34.94","4,949.50","3,340.00","-8.79%","6.08%","5.25%","3.59%","105.44%","12.23","-","13.56%","16.93%","40.74","4,529.58","4,101.31","39.07","76.00%","80.00%"
"Power Grid Corporation of India","https://scanx.trade/company/power-grid-corporation-of-india-ltd","289.75","-0.72%","291.00","1,42,75,188","2,71,438.10","17.46","7.04","345.40","247.30","0.91%","-2.31%","-12.50%","82.36%","222.45%","2.91","3.11%","18.53%","12.27%","16.88","285.59","289.53","54.05","76.00%","90.31%"
"Wipro","https://scanx.trade/company/wipro-ltd","240.90","-5.09%","250.00","4,38,02,251","2,66,086.50","18.63","30.42","324.60","228.00","-5.21%","-7.56%","-8.88%","28.45%","40.38%","2.95","2.49%","14.88%","18.97%","21.37","247.05","264.90","42.93","76.00%","89.45%"
"Bajaj Auto","https://scanx.trade/company/bajaj-auto-ltd","9,150.50","-0.01%","9,150.00","4,66,036","2,55,562.60","33.65","12.76","11,287.35","7,089.35","0.73%","9.85%","-9.58%","152.15%","207.06%","7.26","2.29%","26.61%","24.90%","286.76","8,828.23","8,442.71","60.94","76.00%","89.93%"
"Nestle","https://scanx.trade/company/nestle-india-ltd","1,289.50","1.01%","1,263.90","31,71,952","2,46,168.60","84.25","55.11","1,286.50","1,055.00","7.07%","5.30%","8.42%","36.31%","60.25%","56.05","1.05%","117.72%","59.30%","33.58","1,176.74","1,160.05","73.65","78.00%","91.00%"
"Coal India","https://scanx.trade/company/coal-india-ltd","388.80","0.31%","387.60","40,93,872","2,38,867.30","7.24","20.31","497.25","349.25","-2.74%","0.75%","-20.64%","63.36%","238.97%","2.42","6.82%","44.71%","24.48%","59.34","386.08","385.78","53.79","76.00%","90.64%"
"Asian Paints","https://scanx.trade/company/asian-paints-ltd","2,507.80","4.07%","2,421.00","37,19,960","2,31,137.90","66.08","45.28","3,085.00","2,124.75","0.57%","4.54%","-17.93%","-21.57%","21.14%","12.40","0.99%","28.61%","23.98%","52.96","2,468.18","2,354.75","64.62","78.00%","91.00%"
"Interglobe Aviation","https://scanx.trade/company/indigo-interglobe-aviation-ltd","5,848.00","-0.56%","5,875.00","5,82,184","2,27,338.20","33.72","1.01","6,232.50","3,780.00","1.77%","0.89%","26.47%","235.13%","328.02%","24.13","0.17%","409.35%","15.53%","202.26","5,785.43","5,250.58","58.11","76.00%","80.00%"
"Tata Steel","https://scanx.trade/company/tata-steel-ltd","172.22","-1.02%","173.60","2,16,59,007","2,17,213.40","50.51","26.31","177.82","122.62","0.50%","7.70%","13.01%","73.00%","335.45%","2.40","2.09%","-5.31%","8.15%","1.60","166.29","151.94","53.60","76.00%","88.74%"
"Indian Oil Corporation","https://scanx.trade/company/indian-oil-corporation-ltd","152.91","-0.49%","153.75","71,26,668","2,17,001.10","12.79","5.40","168.60","110.72","4.78%","1.29%","-6.92%","131.51%","198.65%","1.15","1.91%","22.94%","9.53%","21.83","145.26","138.01","59.56","76.00%","80.00%"
"Hindustan Zinc","https://scanx.trade/company/hindustan-zinc-ltd","500.25","-1.27%","509.20","82,02,471","2,11,371.60","20.63","20.31","575.40","378.15","8.88%","14.45%","-1.56%","80.66%","126.46%","15.86","5.80%","51.06%","62.89%","19.26","454.70","445.37","60.67","58.00%","80.00%"
"Jio Financial Services","https://scanx.trade/company/jio-financial-services-ltd","309.30","-0.90%","313.55","1,39,63,053","1,98,281.60","120.35","24.21","347.35","198.65","-2.07%","-2.78%","-6.03%","24.27%","24.27%","1.46","0.16%","1.15%","1.49%","2.50","313.43","279.84","50.76","75.00%","85.00%"
"Grasim Industries","https://scanx.trade/company/grasim-industries-ltd","2,836.20","-0.83%","2,862.00","3,34,522","1,94,614.30","22.53","3.97","2,911.00","2,276.95","-1.02%","2.53%","4.82%","68.38%","268.29%","1.97","0.35%","7.14%","5.94%","85.43","2,800.66","2,646.77","55.63","78.00%","91.00%"
"Eicher Motors","https://scanx.trade/company/eicher-motors-ltd","7,042.50","0.78%","6,990.00","4,02,013","1,91,665.50","39.91","53.11","7,122.50","4,508.75","2.21%","24.65%","52.31%","100.37%","220.38%","9.07","0.99%","22.17%","26.14%","152.70","6,536.54","5,623.67","65.19","78.00%","90.80%"
"Hyundai Motor India","https://scanx.trade/company/hyundai-motor-india-ltd","2,346.80","-0.48%","2,369.90","15,94,803","1,91,613.40","34.56","45.06","2,890.00","1,541.70","-11.47%","9.89%","28.97%","28.97%","28.97%","11.70","0.89%","-","40.99%","-","2,477.57","2,001.55","35.18","65.00%","75.00%"
"DLF","https://scanx.trade/company/dlf-ltd","767.95","-0.23%","769.00","31,64,486","1,90,525.00","42.40","0.52","896.60","601.20","-2.35%","-9.34%","-10.81%","113.68%","366.27%","4.47","0.78%","4.13%","5.62%","11.50","753.42","748.20","59.67","76.00%","80.00%"
"Vedanta","https://scanx.trade/company/vedanta-ltd","474.05","-1.05%","478.00","58,16,016","1,87,346.70","9.32","20.31","526.95","363.00","3.92%","6.68%","0.40%","69.27%","389.97%","4.50","9.18%","17.92%","28.36%","13.95","451.03","440.82","57.13","75.86%","80.00%"
"SBI Life Insurance","https://scanx.trade/company/sbi-life-insurance-ltd","1,844.10","0.46%","1,844.00","11,83,570","1,84,024.40","74.28","24.21","1,912.00","1,372.55","2.22%","2.29%","8.35%","54.99%","131.00%","10.36","0.15%","12.70%","0.56%","20.29","1,821.79","1,677.68","59.19","78.00%","91.00%"
"Hindalco Industries","https://scanx.trade/company/hindalco-industries-ltd","772.80","-0.94%","780.00","32,54,932","1,75,306.10","10.25","0.49","790.60","546.45","3.03%","14.57%","5.17%","99.02%","322.99%","1.40","0.64%","9.57%","12.85%","48.78","735.55","665.04","59.63","76.00%","89.03%"
"Divis Laboratories","https://scanx.trade/company/divis-laboratories-ltd","6,621.50","0.32%","6,580.00","3,02,575","1,75,222.50","76.19","58.93","7,071.50","4,955.00","9.42%","-2.49%","8.95%","85.03%","114.05%","11.74","0.45%","11.79%","18.85%","63.06","6,097.74","6,133.01","72.60","76.00%","80.00%"
"Adani Green Energy","https://scanx.trade/company/adani-green-energy-ltd","1,036.70","-2.23%","1,057.90","21,32,960","1,72,043.90","76.61","7.04","1,767.70","758.00","5.85%","-1.28%","-40.20%","-51.88%","47.51%","11.94","-","7.22%","8.15%","8.71","993.85","970.36","50.44","68.03%","75.00%"
"Trent","https://scanx.trade/company/trent-ltd","4,814.40","0.44%","4,793.40","12,43,932","1,70,399.40","109.06","34.94","7,880.05","4,488.00","-7.37%","-11.13%","-37.63%","249.31%","644.69%","31.31","0.10%","36.01%","29.27%","35.43","5,112.24","5,425.02","46.35","72.77%","84.78%"
"TVS Motors","https://scanx.trade/company/tvs-motors-ltd","3,654.00","2.17%","3,576.50","11,73,044","1,69,914.90","68.37","53.11","3,629.70","2,171.40","4.40%","26.93%","36.38%","239.89%","703.34%","20.41","0.27%","23.68%","22.61%","36.05","3,378.74","2,793.17","75.78","76.00%","80.00%"
"LTI Mindtree","https://scanx.trade/company/lti-larsen-toubro-infotech-ltd","5,605.00","-0.31%","5,750.00","9,56,634","1,66,660.30","34.27","30.42","6,767.95","3,802.00","3.36%","7.90%","-12.35%","20.75%","85.89%","7.10","1.16%","22.89%","26.33%","154.11","5,252.50","5,169.02","67.52","76.00%","80.00%"
"IRFC","https://scanx.trade/company/indian-railway-finance-corp-ltd","123.52","-0.96%","124.72","1,00,02,889","1,62,990.40","23.62","-83.00","166.90","108.04","-4.49%","-8.44%","-17.17%","479.91%","398.06%","2.87","1.30%","13.04%","5.81%","4.93","125.12","131.13","43.70","72.21%","80.00%"
"HDFC Life Insurance","https://scanx.trade/company/hdfc-life-insurance-ltd","745.95","0.42%","740.75","42,05,888","1,60,117.40","84.95","24.21","820.75","584.30","-2.88%","-0.78%","2.73%","42.42%","30.75%","9.48","0.28%","10.73%","0.60%","7.61","768.73","715.69","42.70","78.00%","91.00%"
"Varun Beverages","https://scanx.trade/company/varun-beverages-ltd","461.55","0.05%","460.80","54,94,264","1,56,009.90","54.15","19.84","663.60","419.55","-2.02%","-5.83%","-21.56%","132.88%","664.03%","8.50","0.22%","29.67%","20.86%","18.65","475.85","503.78","53.80","75.00%","80.00%"
"Pidilite Industries","https://scanx.trade/company/pidilite-industries-ltd","1,542.70","1.29%","1,524.00","8,18,953","1,54,997.80","71.22","25.66","1,652.20","1,311.10","0.76%","3.11%","-2.19%","14.64%","100.87%","16.09","0.65%","20.28%","26.80%","36.93","1,524.75","1,478.11","60.29","78.00%","80.00%"
"Tata Motors","https://scanx.trade/company/tata-motors-ltd","396.60","-0.05%","396.80","1,65,64,547","1,46,122.50","6.79","540.10","555.55","324.33","-8.90%","-3.90%","-26.52%","65.39%","410.82%","1.31","1.51%","34.17%","18.34%","102.18","414.27","417.55","38.81","76.00%","88.14%"
"Bharat Petroleum","https://scanx.trade/company/bharat-petroleum-ltd","335.85","-0.01%","336.10","78,24,777","1,45,730.40","8.40","5.40","358.65","234.01","3.80%","-3.14%","-2.00%","126.50%","93.76%","1.79","2.93%","35.51%","17.05%","44.92","324.66","303.19","53.73","76.00%","80.00%"
"Britannia Industries","https://scanx.trade/company/britannia-industries-ltd","6,083.00","0.95%","6,037.00","3,92,965","1,45,135.20","66.78","55.11","6,336.00","4,506.00","-0.24%","4.74%","1.58%","61.02%","61.25%","33.62","1.23%","53.81%","58.72%","91.68","5,852.44","5,408.24","60.13","78.00%","80.00%"
"Tech Mahindra","https://scanx.trade/company/tech-mahindra-ltd","1,447.60","-1.11%","1,465.00","14,33,539","1,43,388.30","31.79","30.42","1,807.70","1,209.40","-6.44%","-7.42%","-14.80%","41.47%","75.65%","5.15","3.11%","8.83%","18.78%","25.74","1,482.55","1,545.10","45.40","76.00%","90.07%"
"Tata Capital","https://scanx.trade/company/tata-capital-ltd","330.70","-1.31%","335.10","75,76,158","1,42,245.60","34.15","24.21","336.00","319.05","0.06%","0.06%","0.06%","0.06%","0.06%","3.90","0.11%","-","9.08%","-","-","-","-","-","-"
"Ambuja Cements","https://scanx.trade/company/ambuja-cements-ltd","563.60","-1.07%","569.70","9,31,716","1,40,819.80","26.06","36.76","624.95","453.05","-3.17%","-5.21%","-1.34%","8.27%","127.63%","2.61","0.35%","9.32%","9.15%","12.66","574.73","550.51","42.89","76.00%","80.00%"
"Cholamandalam Investment","https://scanx.trade/company/cholamandalam-investment-ltd","1,654.30","-0.83%","1,666.90","6,54,858","1,40,353.80","31.34","24.21","1,708.00","1,168.00","5.14%","5.75%","13.58%","125.89%","589.58%","5.90","0.12%","17.41%","9.61%","43.53","1,544.39","1,488.53","58.81","75.93%","80.00%"
"Bajaj Holdings & Investments","https://scanx.trade/company/bajaj-holdings-and-investments-ltd","12,655.00","1.23%","12,520.00","46,744","1,39,128.00","16.53","24.21","14,763.00","10,004.85","-7.38%","-10.25%","21.65%","91.40%","435.40%","2.25","0.74%","11.70%","8.98%","670.52","13,006.56","12,625.99","51.81","68.52%","80.00%"
"Bank of Baroda","https://scanx.trade/company/bank-of-baroda-ltd","264.50","-0.62%","266.15","69,19,725","1,37,635.80","6.97","9.81","272.05","190.70","7.57%","7.29%","9.32%","94.27%","506.65%","0.89","3.16%","15.25%","5.69%","36.82","247.82","235.10","60.93","76.00%","80.00%"
"Power Finance Corporation","https://scanx.trade/company/power-finance-corporation-ltd","396.45","-1.27%","401.50","75,66,342","1,32,515.60","4.05","-83.00","523.90","357.25","-2.06%","-6.52%","-15.55%","386.80%","467.98%","1.11","3.98%","19.70%","9.24%","62.81","402.78","408.70","43.33","72.83%","80.00%"
"Muthoot Finance","https://scanx.trade/company/muthoot-finance-ltd","3,334.50","2.02%","3,286.40","11,23,086","1,31,220.00","21.82","24.21","3,285.00","1,756.05","13.34%","25.36%","70.52%","226.26%","172.91%","4.56","0.78%","16.57%","13.76%","111.25","2,915.84","2,468.74","73.53","76.00%","80.00%"
"Punjab National Bank","https://scanx.trade/company/punjab-national-bank-ltd","113.70","-2.08%","116.15","1,67,44,153","1,30,674.80","7.81","9.81","117.85","85.46","1.55%","-0.08%","10.97%","208.13%","306.80%","1.01","2.55%","8.25%","5.75%","10.66","108.83","102.71","53.68","76.00%","80.00%"
"Tata Power","https://scanx.trade/company/tata-power-ltd","397.80","-0.30%","399.00","49,98,891","1,27,494.00","26.20","7.04","465.55","326.35","0.80%","-3.79%","-11.64%","82.52%","620.65%","3.55","0.57%","11.17%","9.90%","11.48","388.01","382.01","59.00","76.00%","80.00%"
"Solar Industries","https://scanx.trade/company/solar-industries-ltd","14,058.00","0.16%","14,000.00","79,343","1,27,002.80","94.88","25.66","17,820.00","8,482.50","-5.14%","-7.19%","25.81%","262.41%","1,280.06%","28.99","0.07%","25.54%","30.18%","102.22","14,265.24","12,970.89","48.84","74.84%","80.00%"
"Cipla","https://scanx.trade/company/cipla-ltd","1,577.60","0.52%","1,565.30","12,22,051","1,26,768.90","23.67","55.26","1,612.35","1,335.00","1.15%","6.42%","1.21%","42.36%","106.49%","4.09","1.01%","15.50%","21.57%","55.04","1,546.92","1,499.29","60.63","78.00%","91.00%"
"Shriram Finance","https://scanx.trade/company/shriram-transport-finance-company-ltd","675.50","0.45%","672.20","35,16,617","1,26,497.80","13.09","24.21","717.50","493.35","8.38%","1.51%","3.65%","183.25%","413.49%","2.25","1.47%","14.88%","10.65%","201.17","625.03","625.80","66.53","75.03%","85.00%"
"HDFC AMC","https://scanx.trade/company/hdfc-asset-management-company-ltd","5,715.50","-1.52%","5,803.50","4,82,505","1,24,197.10","44.49","24.21","5,934.50","3,563.05","-1.59%","3.73%","20.87%","198.56%","145.41%","15.78","1.58%","27.46%","39.50%","96.87","5,667.57","4,748.01","53.17","76.00%","80.00%"
"CG Power & Industrial Solutions","https://scanx.trade/company/cg-power-and-industrial-solutions-ltd","757.70","-0.38%","760.50","18,30,918","1,19,770.20","119.55","28.99","857.70","517.70","-4.32%","9.92%","-9.50%","198.01%","3,223.25%","17.44","0.17%","28.86%","31.58%","5.88","730.26","667.00","54.96","74.12%","80.00%"
"Torrent Pharmaceuticals","https://scanx.trade/company/torrent-pharmaceuticals-ltd","3,584.30","1.43%","3,533.80","1,71,465","1,19,599.80","60.49","25.43","3,787.90","2,886.45","1.01%","2.27%","5.52%","126.78%","168.18%","15.96","0.17%","24.16%","28.48%","49.44","3,586.92","3,336.48","53.74","78.00%","80.00%"
"Lodha Developers","https://scanx.trade/company/macrotech-developers-ltd","1,186.90","-0.66%","1,194.80","7,74,211","1,19,295.20","39.95","0.52","1,531.00","1,035.15","-1.47%","-17.60%","1.48%","134.88%","410.21%","6.00","0.36%","8.86%","18.64%","19.37","1,192.65","1,262.80","54.15","72.22%","80.00%"
"GAIL","https://scanx.trade/company/gail-ltd","177.60","-0.88%","179.21","1,06,53,158","1,17,806.10","10.01","22.25","230.13","150.52","-2.20%","-4.15%","-20.01%","108.82%","204.63%","1.37","4.22%","12.83%","15.14%","17.17","176.23","179.21","50.03","76.00%","80.00%"
"Canara Bank","https://scanx.trade/company/canara-bank-ltd","125.49","-1.48%","127.37","2,03,51,565","1,15,532.90","6.77","9.81","130.14","78.60","7.95%","8.62%","22.43%","164.30%","601.85%","1.15","3.19%","15.87%","6.11%","17.21","115.28","103.55","58.82","76.00%","80.00%"
"Godrej Consumer Products","https://scanx.trade/company/godrej-consumer-products-ltd","1,132.20","1.08%","1,123.70","9,03,877","1,14,594.60","62.49","16.80","1,364.85","979.50","-8.94%","-11.42%","-15.97%","35.82%","64.78%","9.66","2.21%","-4.45%","23.72%","17.15","1,204.07","1,182.02","38.56","76.00%","80.00%"
"Max Healthcare Institute","https://scanx.trade/company/max-healthcare-institute-ltd","1,202.70","2.33%","1,188.00","52,39,734","1,14,266.90","101.89","33.16","1,314.30","888.90","4.24%","-3.29%","28.32%","186.70%","1,007.46%","12.46","0.12%","14.89%","11.73%","10.84","1,177.30","1,145.91","60.77","70.00%","75.00%"
"Mazagon Dock Shipbuilders","https://scanx.trade/company/mazagon-dock-shipbuilders-ltd","2,818.30","-0.48%","2,830.00","8,01,682","1,14,233.20","52.38","22.25","3,775.00","1,918.05","-5.96%","-7.54%","33.01%","806.70%","3,249.14%","14.31","0.61%","21.98%","34.51%","96.04","2,797.47","2,750.01","47.29","66.44%","79.31%"
"Adani Energy Solutions","https://scanx.trade/company/adani-transmission-ltd","929.70","-1.93%","940.05","53,49,446","1,13,875.60","42.09","7.04","1,090.95","588.00","12.49%","6.45%","-9.00%","3.86%","3.86%","5.06","-","8.73%","6.77%","12.54","843.47","829.04","60.99","68.33%","75.00%"
"Tata Consumer Products","https://scanx.trade/company/tata-consumer-products-ltd","1,166.00","1.45%","1,152.20","20,01,759","1,13,728.00","86.77","61.69","1,180.50","882.90","2.61%","5.44%","6.96%","54.69%","148.08%","5.77","0.71%","7.46%","7.91%","13.53","1,101.04","1,063.89","66.08","78.00%","90.92%"
"Bosch","https://scanx.trade/company/bosch-ltd","38,755.00","0.64%","38,490.00","19,212","1,13,580.00","42.88","79.58","41,945.00","25,921.60","-2.56%","0.28%","6.22%","148.93%","225.57%","8.27","1.32%","20.65%","18.89%","646.75","39,330.40","33,070.44","48.70","78.00%","80.00%"
"LG Electronics","https://scanx.trade/company/lg-electronics-india-ltd","1,668.00","-0.20%","1,675.00","49,92,719","1,13,443.20","51.37","15.29","1,749.00","1,650.00","-1.30%","-1.30%","-1.30%","-1.30%","-1.30%","18.96","-","-","45.23%","-","-","-","-","-","-"
"Samvardhana Motherson International","https://scanx.trade/company/motherson-sumi-systems-ltd","104.70","-2.40%","106.69","1,42,90,399","1,13,217.50","30.26","79.58","137.77","71.50","-4.24%","2.07%","-22.60%","126.97%","163.79%","3.17","0.54%","10.70%","14.07%","4.75","100.89","95.88","50.98","75.72%","80.00%"
